Date,Open,High,Low,Close,Adj Close,Volume
2022-08-18,157.399994,159.000000,156.399994,157.250000,147.114197,7705663
2022-08-19,157.850006,158.850006,156.550003,157.250000,147.114197,12920709
2022-08-22,157.149994,158.250000,155.867996,156.300003,146.225433,16733618
2022-08-23,158.500000,160.500000,156.587997,157.100006,146.973877,19096022
2022-08-24,156.899994,157.300003,153.250000,153.699997,143.793015,18418011
2022-08-25,153.949997,154.600006,152.134995,152.699997,142.857468,9003278
2022-08-26,152.850006,153.649994,151.250000,151.449997,141.688049,25963680
2022-08-30,150.800003,153.699997,150.621994,151.850006,142.062271,81671245
2022-08-31,152.250000,152.250000,149.600006,150.699997,140.986374,24842711
2022-09-01,150.800003,151.199997,145.100006,146.050003,136.636108,23890840
2022-09-02,145.699997,147.199997,144.149994,146.449997,137.010315,26151041
2022-09-05,145.500000,145.500000,142.250000,144.649994,135.326340,25579366
2022-09-06,142.050003,143.750000,140.649994,142.149994,132.987488,24116752
2022-09-07,141.550003,142.399994,140.500000,141.949997,132.800385,22002837
2022-09-08,141.649994,141.938995,138.300003,139.250000,130.274414,28344344
2022-09-09,137.949997,141.350006,137.050003,140.100006,131.069626,21309370
2022-09-12,142.000000,144.750000,140.649994,144.500000,135.186020,42494338
2022-09-13,146.050003,147.800003,142.735992,142.750000,133.548828,42842581
2022-09-14,141.699997,142.798004,139.750000,140.449997,131.397064,49150871
2022-09-15,142.850006,143.149994,139.800003,141.100006,132.005173,14345111
2022-09-16,139.500000,141.199997,139.050003,139.050003,130.087311,34938846
2022-09-20,139.600006,141.350006,136.550003,136.949997,128.122665,15091965
2022-09-21,136.550003,137.399994,134.024994,135.050003,126.345131,16624196
2022-09-22,135.300003,135.300003,133.475998,134.500000,125.830582,11638197
2022-09-23,135.199997,135.794006,129.149994,129.850006,121.480316,17297411
2022-09-26,130.050003,130.050003,125.849998,128.501999,120.219193,22784807
2022-09-27,127.699997,128.649994,125.224998,125.550003,117.457474,18461609
2022-09-28,125.300003,127.750000,122.500000,127.449997,119.235001,37135415
2022-09-29,126.099998,127.150002,120.800003,121.500000,113.668518,27974786
2022-09-30,120.050003,123.949997,120.050003,121.349998,113.528183,29569838
2022-10-03,121.550003,128.041000,120.650002,126.699997,118.533340,39076734
2022-10-04,127.949997,131.050003,127.699997,129.399994,121.059303,16600206
2022-10-05,129.300003,129.449997,125.250000,126.349998,118.205902,15401762
2022-10-06,126.599998,127.472000,124.650002,124.650002,116.615486,14617176
2022-10-07,124.599998,126.199997,123.934998,124.000000,116.007378,19528775
2022-10-10,123.150002,126.891998,123.150002,125.750000,117.644585,10914652
2022-10-11,125.150002,125.150002,122.849998,123.800003,115.820274,10710919
2022-10-12,123.699997,123.849998,119.250000,119.500000,111.797432,33951557
2022-10-13,119.000000,123.849998,117.050003,120.800003,113.013649,28816236
2022-10-14,122.150002,124.050003,120.750000,122.650002,114.744392,15778571
2022-10-17,123.500000,126.000000,122.400002,124.949997,116.896141,12819754
2022-10-18,126.099998,127.013000,124.969002,126.699997,118.533340,15011198
2022-10-19,126.900002,128.600006,125.250000,127.699997,119.468880,14851519
2022-10-20,127.550003,127.900002,123.400002,125.449997,117.363914,19228742
2022-10-21,125.800003,125.949997,123.349998,123.550003,115.586388,18801333
2022-10-24,125.349998,127.000000,123.691002,125.900002,117.784912,10840633
2022-10-25,127.000000,127.550003,124.318001,125.699997,117.597801,11031163
2022-10-26,125.500000,127.250000,125.500000,126.400002,118.252678,56996670
2022-10-27,126.800003,127.400002,125.250000,126.449997,118.299454,8678984
2022-10-28,125.050003,127.250000,125.050003,126.650002,118.486565,14119747
2022-10-31,127.349998,130.050003,127.349998,129.800003,121.433533,38209624
2022-11-01,130.100006,131.408997,127.699997,128.899994,120.591537,13974422
2022-11-02,129.750000,129.750000,127.623001,127.750000,119.515663,23768756
2022-11-03,122.449997,124.783997,113.949997,116.400002,108.897247,48632853
2022-11-04,117.150002,118.325996,114.000000,114.099998,106.745499,36873168
2022-11-07,115.000000,117.050003,113.800003,115.199997,107.774597,23184482
2022-11-08,115.400002,117.449997,114.839996,117.449997,109.879562,56795855
2022-11-09,117.099998,118.400002,114.248001,115.849998,108.382698,16621986
2022-11-10,115.300003,122.050003,115.300003,120.349998,112.592644,25495104
2022-11-11,119.449997,120.349998,117.449997,119.800003,112.078102,25017345
2022-11-14,121.050003,125.599998,120.300003,124.949997,116.896141,29710986
2022-11-15,124.699997,126.000000,122.400002,122.750000,114.837944,18829293
2022-11-16,122.650002,122.886002,119.550003,120.849998,113.060417,15476409
2022-11-17,121.199997,121.300003,118.425003,120.050003,112.311989,11612002
2022-11-18,120.500000,122.849998,120.168999,122.800003,114.884727,16891964
2022-11-21,122.400002,124.599998,120.667000,123.750000,115.773491,13396874
2022-11-22,122.599998,125.099998,122.599998,124.800003,116.755814,54318323
2022-11-23,125.400002,125.949997,124.189003,124.750000,116.709038,10163652
2022-11-24,124.800003,127.099998,123.699997,126.150002,118.018799,9531708
2022-11-25,126.250000,128.000000,125.429001,126.900002,118.720451,10417924
2022-11-28,127.199997,127.800003,123.150002,123.800003,115.820274,20837616
2022-11-29,123.199997,124.199997,122.300003,122.849998,114.931503,20723744
2022-11-30,124.300003,124.500000,121.400002,121.400002,113.574966,42712118
2022-12-01,122.099998,124.099998,119.528999,120.550003,112.779762,30434927
2022-12-02,120.449997,121.328003,118.699997,120.699997,112.920082,16158382
2022-12-05,120.800003,121.789001,120.599998,120.949997,113.153969,13795887
2022-12-06,121.199997,121.357002,118.650002,120.300003,112.545876,72700621
2022-12-07,120.050003,120.300003,116.849998,116.900002,109.365021,18817461
2022-12-08,115.900002,116.449997,112.250000,112.550003,105.295410,35238880
2022-12-09,113.000000,113.800003,112.050003,113.550003,106.230949,21769857
2022-12-12,113.300003,113.550003,110.550003,112.750000,105.482513,24810334
2022-12-13,113.050003,116.150002,111.500000,113.900002,106.558395,22078603
2022-12-14,114.050003,118.541000,114.050003,116.250000,108.756912,37658830
2022-12-15,115.750000,117.000000,114.400002,114.400002,107.026161,22802571
2022-12-16,114.500000,114.859001,111.819000,112.949997,105.669617,38888935
2022-12-19,113.699997,114.823997,111.567001,112.599998,105.342178,16772989
2022-12-20,112.550003,112.599998,111.300003,112.000000,104.780853,12667291
2022-12-21,112.500000,113.949997,111.650002,113.500000,106.184174,28953561
2022-12-22,113.500000,114.500000,113.217003,114.349998,106.979385,12580318
2022-12-23,114.550003,115.550003,114.000000,114.000000,106.651947,5990449
2022-12-28,115.150002,116.657997,114.800003,115.199997,107.774597,15207260
2022-12-29,114.000000,115.250000,111.837997,115.199997,109.979919,16275067
2022-12-30,116.000000,116.000000,112.050003,112.050003,106.972664,11447649
2023-01-03,113.250000,115.880997,112.535004,114.800003,109.598053,17259029
2023-01-04,115.500000,120.599998,114.955002,120.599998,115.135231,18003328
2023-01-05,121.000000,123.800003,120.550003,123.800003,118.190231,35071127
2023-01-06,125.000000,127.449997,123.849998,126.650002,120.911087,39672436
2023-01-09,130.800003,130.800003,126.650002,128.050003,122.247650,28734135
2023-01-10,127.500000,128.244995,124.400002,125.150002,119.479057,17520689
2023-01-11,125.849998,128.850006,125.800003,126.650002,120.911087,17463457
2023-01-12,126.550003,129.399994,126.449997,128.350006,122.534058,23981019
2023-01-13,129.250000,129.550003,127.000000,127.000000,121.245224,18599537
2023-01-16,127.849998,130.600006,126.199997,130.300003,124.395699,20666045
2023-01-17,130.050003,132.649994,129.854996,132.199997,126.209595,92111109
2023-01-18,132.449997,132.550003,128.000000,128.000000,122.199913,24772182
2023-01-19,128.750000,128.850006,124.449997,127.150002,121.388428,24068942
2023-01-20,127.550003,130.817993,126.550003,129.350006,123.488747,15113798
2023-01-23,130.000000,130.699997,129.283005,130.350006,124.443436,18933094
2023-01-24,130.699997,131.550003,128.149994,131.050003,125.111710,21235364
2023-01-25,131.100006,131.500000,127.900002,129.050003,123.202339,14500201
2023-01-26,129.699997,130.000000,128.669998,129.100006,123.250076,19770485
2023-01-27,130.750000,130.949997,128.100006,129.899994,124.013809,13857163
2023-01-30,130.000000,130.460007,126.949997,128.000000,122.199913,47883662
2023-01-31,127.849998,128.199997,124.650002,124.650002,119.001717,40672615
2023-02-01,125.400002,125.650002,122.971001,123.900002,118.285698,21257962
2023-02-02,121.449997,132.850006,118.849998,132.399994,126.400528,43580272
2023-02-03,131.850006,135.100006,130.949997,134.649994,128.548569,36398554
2023-02-06,133.899994,134.449997,129.949997,130.350006,124.443436,33054951
2023-02-07,130.000000,134.149994,129.695999,133.750000,127.689362,27789467
2023-02-08,133.649994,139.425995,133.449997,138.199997,131.937714,38646091
2023-02-09,137.850006,139.750000,132.600006,133.899994,127.832558,28000229
2023-02-10,134.750000,136.764999,133.850006,136.000000,129.837402,28612130
2023-02-13,133.949997,136.250000,132.072006,134.100006,128.023514,25158525
2023-02-14,135.050003,140.500000,134.843994,138.300003,132.033188,29096141
2023-02-15,139.350006,139.649994,136.175995,138.300003,132.033188,17885112
2023-02-16,139.300003,143.399994,139.149994,142.250000,135.804199,24446420
2023-02-17,141.600006,144.000000,141.050003,142.000000,135.565521,45790025
2023-02-20,142.300003,143.199997,141.078003,142.350006,135.899673,12834529
2023-02-21,142.050003,142.600006,138.649994,139.300003,132.987885,22449907
2023-02-22,139.350006,141.300003,138.750000,140.850006,134.467651,15843947
2023-02-23,140.500000,142.300003,136.949997,137.199997,130.983032,13118785
2023-02-24,138.350006,139.386002,137.044998,137.350006,131.126236,10478438
2023-02-27,137.949997,142.250000,137.949997,141.250000,134.849518,15734837
2023-02-28,140.050003,141.300003,139.147995,139.350006,133.035614,23200162
2023-03-01,139.699997,141.199997,139.199997,140.500000,134.133499,11728255
2023-03-02,139.699997,143.100006,138.800003,141.500000,135.088181,21398481
2023-03-03,142.500000,145.955994,142.500000,144.850006,138.286392,22408826
2023-03-06,145.399994,149.550003,145.000000,148.750000,142.009659,52110216
2023-03-07,148.050003,149.149994,146.300003,146.300003,139.670685,37473324
2023-03-08,146.350006,146.899994,143.899994,146.800003,140.148026,27374873
2023-03-09,146.750000,147.899994,145.940994,147.300003,140.625366,10582929
2023-03-10,148.500000,149.600006,145.850006,148.350006,141.627792,33170535
2023-03-13,148.949997,149.000000,140.949997,142.399994,135.947403,22707309
2023-03-14,142.500000,144.699997,140.694000,143.550003,137.045303,20947534
2023-03-15,144.149994,147.649994,140.949997,143.300003,136.806625,47391772
2023-03-16,146.000000,147.850006,143.138000,146.649994,140.004822,44159667
2023-03-17,145.949997,146.550003,136.888000,137.750000,131.508102,75748379
2023-03-20,136.949997,141.949997,134.819000,140.500000,134.133499,18745841
2023-03-21,142.100006,143.559998,140.600006,141.350006,134.944992,22575992
2023-03-22,140.899994,142.350006,138.947998,141.050003,134.658585,32576264
2023-03-23,141.199997,141.750000,138.649994,139.649994,133.322006,16809542
2023-03-24,138.899994,139.949997,137.750000,139.750000,133.417480,17603596
2023-03-27,140.750000,140.750000,138.649994,139.000000,132.701462,15840349
2023-03-28,140.100006,140.548996,138.449997,139.649994,133.322006,11138759
2023-03-29,140.149994,142.699997,139.388000,141.750000,135.326859,17711531
2023-03-30,141.750000,144.649994,141.350006,144.100006,137.570374,13603739
2023-03-31,144.750000,147.509003,144.399994,145.800003,139.193344,18770058
2023-04-03,146.250000,148.300003,145.850006,147.199997,140.529892,13851394
2023-04-04,147.399994,148.199997,143.899994,144.350006,137.809052,21020805
2023-04-05,145.649994,149.550003,144.621002,145.800003,139.193344,26529451
2023-04-06,145.899994,150.300003,145.750000,149.399994,142.630203,16934327
2023-04-11,150.399994,153.871994,150.300003,152.850006,145.923889,58775616
2023-04-12,153.500000,156.910004,152.595001,154.899994,147.880981,18808380
2023-04-13,155.300003,156.035995,153.600006,155.550003,148.501541,19198423
2023-04-14,156.550003,158.300003,156.100006,156.850006,149.742630,18472710
2023-04-17,157.399994,159.949997,156.481995,158.750000,151.556534,26140110
2023-04-18,159.949997,160.350006,22.982000,160.350006,153.084030,47105583
2023-04-19,159.500000,161.399994,157.649994,157.649994,150.506378,32867473
